Transaction ID,Date,Gender,Age,Age Group,Product Category,Quantity,Price per Unit,Total Amount,,,,,,,,,Min_age,Max_age,Avg_age,Total Sales Revenue,Average Order value, Category,Sales
249,10/20/2023,Male,20,Adolescent,Clothing,1,50,50,,,,,,,,,,,,,,,
250,10/23/2023,Male,48,Middle Age,Electronics,1,50,50,,,,,,,,,,,,,,,
251,8/31/2023,Female,57,Old,Beauty,4,50,200,,,,,,,,,,,,,,,
252,5/5/2023,Male,54,Middle Age,Electronics,1,300,300,,,,,,,,,,,,,,,
253,8/31/2023,Female,53,Middle Age,Clothing,4,500,2000,,,,,,,,,,,,,,,
254,7/28/2023,Male,41,Middle Age,Electronics,1,500,500,,,,,,,,,,,,,,,
255,4/8/2023,Male,48,Middle Age,Clothing,1,30,30,,,,,,,,,,,,,,,
256,2/18/2023,Male,23,Adolescent,Clothing,2,500,1000,,,,,,,,,,,,,,,
257,2/19/2023,Male,19,Adolescent,Beauty,4,500,2000,,,,,,,,,,,,,,,
258,12/4/2023,Female,37,Middle Age,Clothing,1,50,50,,,,,,,,,,,,,,,
259,8/9/2023,Female,45,Middle Age,Clothing,4,50,200,,,,,,,,,,,,,,,
260,7/1/2023,Male,28,Adolescent,Beauty,2,30,60,,,,,,,,,,,,,,,
261,8/5/2023,Male,21,Adolescent,Clothing,2,25,50,,,,,,,,,,,,,,,
262,7/30/2023,Female,32,Middle Age,Beauty,4,30,120,,,,,,,,,,,,,,,
263,8/28/2023,Male,23,Adolescent,Beauty,2,30,60,,,,,,,,,,,,,,,
264,1/28/2023,Male,47,Middle Age,Clothing,3,300,900,,,,,,,,,,,,,,,
265,12/11/2023,Male,55,Old,Clothing,3,300,900,,,,,,,,,,,,,,,
266,12/1/2023,Female,19,Adolescent,Electronics,2,30,60,,,,,,,,,,,,,,,
267,11/27/2023,Female,32,Middle Age,Beauty,3,30,90,,,,,,,,,,,,,,,
268,2/20/2023,Female,28,Adolescent,Electronics,1,30,30,,,,,,,,,,,,,,,
269,2/1/2023,Male,25,Adolescent,Clothing,4,500,2000,,,,,,,,,,,,,,,
270,7/26/2023,Male,43,Middle Age,Electronics,1,300,300,,,,,,,,,,,,,,,
271,6/23/2023,Female,62,Old,Beauty,4,30,120,,,,,,,,,,,,,,,
272,2/25/2023,Female,61,Old,Electronics,2,50,100,,,,,,,,,,,,,,,
273,5/8/2023,Female,22,Adolescent,Beauty,1,50,50,,,,,,,,,,,,,,,
274,4/9/2023,Female,23,Adolescent,Clothing,2,500,1000,,,,,,,,,,,,,,,
275,4/8/2023,Male,43,Middle Age,Clothing,2,500,1000,,,,,,,,,,,,,,,
276,10/2/2023,Female,21,Adolescent,Beauty,4,25,100,,,,,,,,,,,,,,,
277,8/18/2023,Male,36,Middle Age,Clothing,4,25,100,,,,,,,,,,,,,,,
278,3/13/2023,Female,37,Middle Age,Clothing,4,25,100,,,,,,,,,,,,,,,
279,8/5/2023,Male,50,Middle Age,Clothing,1,500,500,,,,,,,,,,,,,,,
280,4/4/2023,Female,37,Middle Age,Clothing,3,500,1500,,,,,,,,,,,,,,,
281,5/23/2023,Female,29,Adolescent,Beauty,4,500,2000,,,,,,,,,,,,,,,
282,8/25/2023,Female,64,Old,Electronics,4,50,200,,,,,,,,,,,,,,,
283,5/8/2023,Female,18,Adolescent,Electronics,1,500,500,,,,,,,,,,,,,,,
284,2/8/2023,Male,43,Middle Age,Clothing,4,50,200,,,,,,,,,,,,,,,
285,8/15/2023,Female,31,Adolescent,Electronics,1,25,25,,,,,,,,,,,,,,,
286,10/9/2023,Male,55,Old,Electronics,2,25,50,,,,,,,,,,,,,,,
287,2/20/2023,Male,54,Middle Age,Clothing,4,25,100,,,,,,,,,,,,,,,
288,1/26/2023,Male,28,Adolescent,Clothing,4,30,120,,,,,,,,,,,,,,,
289,11/30/2023,Male,53,Middle Age,Electronics,2,30,60,,,,,,,,,,,,,,,
290,10/4/2023,Female,30,Adolescent,Beauty,2,300,600,,,,,,,,,,,,,,,
291,1/8/2023,Male,60,Old,Clothing,2,300,600,,,,,,,,,,,,,,,
292,2/17/2023,Male,20,Adolescent,Beauty,4,300,1200,,,,,,,,,,,,,,,
293,5/2/2023,Male,50,Middle Age,Electronics,3,30,90,,,,,,,,,,,,,,,
294,3/27/2023,Female,23,Adolescent,Clothing,3,30,90,,,,,,,,,,,,,,,
295,7/28/2023,Female,27,Adolescent,Beauty,3,300,900,,,,,,,,,,,,,,,
296,9/6/2023,Female,22,Adolescent,Clothing,4,300,1200,,,,,,,,,,,,,,,
297,9/4/2023,Female,40,Middle Age,Electronics,2,500,1000,,,,,,,,,,,,,,,
298,4/20/2023,Male,27,Adolescent,Beauty,4,300,1200,,,,,,,,,,,,,,,
299,7/25/2023,Male,61,Old,Electronics,2,500,1000,,,,,,,,,,,,,,,
300,1/31/2023,Female,19,Adolescent,Electronics,4,50,200,,,,,,,,,,,,,,,
301,3/26/2023,Male,30,Adolescent,Clothing,4,30,120,,,,,,,,,,,,,,,
302,7/14/2023,Male,57,Old,Beauty,2,300,600,,,,,,,,,,,,,,,
303,1/2/2023,Male,19,Adolescent,Electronics,3,30,90,,,,,,,,,,,,,,,
304,7/19/2023,Female,37,Middle Age,Electronics,2,30,60,,,,,,,,,,,,,,,
305,5/16/2023,Female,18,Adolescent,Beauty,1,30,30,,,,,,,,,,,,,,,
306,8/21/2023,Male,54,Middle Age,Electronics,1,50,50,,,,,,,,,,,,,,,
307,5/27/2023,Female,26,Adolescent,Electronics,2,25,50,,,,,,,,,,,,,,,
308,8/5/2023,Female,34,Middle Age,Beauty,4,300,1200,,,,,,,,,,,,,,,
309,12/23/2023,Female,26,Adolescent,Beauty,1,25,25,,,,,,,,,,,,,,,
310,10/12/2023,Female,28,Adolescent,Beauty,1,25,25,,,,,,,,,,,,,,,
311,12/5/2023,Female,32,Middle Age,Beauty,4,25,100,,,,,,,,,,,,,,,
312,9/7/2023,Male,41,Middle Age,Clothing,4,30,120,,,,,,,,,,,,,,,
313,3/21/2023,Female,55,Old,Beauty,3,500,1500,,,,,,,,,,,,,,,
314,4/8/2023,Male,52,Middle Age,Clothing,4,30,120,,,,,,,,,,,,,,,
315,6/1/2023,Male,47,Middle Age,Clothing,2,30,60,,,,,,,,,,,,,,,
316,4/22/2023,Female,48,Middle Age,Clothing,2,25,50,,,,,,,,,,,,,,,
317,1/30/2023,Male,22,Adolescent,Electronics,3,30,90,,,,,,,,,,,,,,,
318,10/24/2023,Male,61,Old,Clothing,1,25,25,,,,,,,,,,,,,,,
319,10/5/2023,Male,31,Adolescent,Clothing,1,500,500,,,,,,,,,,,,,,,
320,2/1/2023,Female,28,Adolescent,Electronics,4,300,1200,,,,,,,,,,,,,,,
321,6/10/2023,Female,26,Adolescent,Electronics,2,25,50,,,,,,,,,,,,,,,
322,1/30/2023,Male,51,Middle Age,Electronics,1,500,500,,,,,,,,,,,,,,,
323,1/26/2023,Female,29,Adolescent,Beauty,3,300,900,,,,,,,,,,,,,,,
324,10/27/2023,Female,52,Middle Age,Electronics,3,50,150,,,,,,,,,,,,,,,
325,9/2/2023,Female,52,Middle Age,Electronics,2,25,50,,,,,,,,,,,,,,,
326,9/15/2023,Female,18,Adolescent,Clothing,3,25,75,,,,,,,,,,,,,,,
327,9/29/2023,Male,57,Old,Electronics,3,50,150,,,,,,,,,,,,,,,
328,3/22/2023,Male,39,Middle Age,Beauty,2,50,100,,,,,,,,,,,,,,,
329,1/30/2023,Female,46,Middle Age,Electronics,4,25,100,,,,,,,,,,,,,,,
330,9/18/2023,Female,25,Adolescent,Beauty,4,50,200,,,,,,,,,,,,,,,
331,2/11/2023,Male,28,Adolescent,Electronics,3,30,90,,,,,,,,,,,,,,,
332,4/6/2023,Male,58,Old,Electronics,4,300,1200,,,,,,,,,,,,,,,
333,2/5/2023,Female,54,Middle Age,Electronics,4,300,1200,,,,,,,,,,,,,,,
334,11/1/2023,Male,31,Adolescent,Electronics,3,300,900,,,,,,,,,,,,,,,
335,2/4/2023,Female,47,Middle Age,Beauty,4,30,120,,,,,,,,,,,,,,,
336,12/12/2023,Female,52,Middle Age,Beauty,3,50,150,,,,,,,,,,,,,,,
337,5/1/2023,Male,38,Middle Age,Clothing,1,500,500,,,,,,,,,,,,,,,
338,7/26/2023,Male,54,Middle Age,Beauty,2,50,100,,,,,,,,,,,,,,,
339,3/3/2023,Female,22,Adolescent,Electronics,2,25,50,,,,,,,,,,,,,,,
340,10/19/2023,Female,36,Middle Age,Clothing,4,300,1200,,,,,,,,,,,,,,,
341,5/7/2023,Male,31,Adolescent,Clothing,4,50,200,,,,,,,,,,,,,,,
342,10/24/2023,Female,43,Middle Age,Clothing,4,500,2000,,,,,,,,,,,,,,,
343,11/1/2023,Male,21,Adolescent,Electronics,2,25,50,,,,,,,,,,,,,,,
344,1/21/2023,Female,42,Middle Age,Beauty,1,30,30,,,,,,,,,,,,,,,
345,11/14/2023,Male,62,Old,Electronics,1,30,30,,,,,,,,,,,,,,,
346,2/11/2023,Male,59,Old,Clothing,2,500,1000,,,,,,,,,,,,,,,
347,8/3/2023,Male,42,Middle Age,Electronics,1,25,25,,,,,,,,,,,,,,,
348,12/3/2023,Female,35,Middle Age,Electronics,2,300,600,,,,,,,,,,,,,,,
349,10/26/2023,Female,57,Old,Beauty,1,50,50,,,,,,,,,,,,,,,
350,10/17/2023,Male,25,Adolescent,Beauty,3,25,75,,,,,,,,,,,,,,,
351,9/25/2023,Female,56,Old,Clothing,3,30,90,,,,,,,,,,,,,,,
352,6/11/2023,Male,57,Old,Electronics,2,500,1000,,,,,,,,,,,,,,,
353,5/14/2023,Male,31,Adolescent,Electronics,1,500,500,,,,,,,,,,,,,,,
354,4/15/2023,Female,49,Middle Age,Beauty,4,50,200,,,,,,,,,,,,,,,
355,12/9/2023,Female,55,Old,Electronics,1,500,500,,,,,,,,,,,,,,,
356,6/10/2023,Male,50,Middle Age,Electronics,3,500,1500,,,,,,,,,,,,,,,
357,5/3/2023,Female,40,Middle Age,Electronics,3,25,75,,,,,,,,,,,,,,,
358,5/16/2023,Female,32,Middle Age,Beauty,1,300,300,,,,,,,,,,,,,,,
359,7/22/2023,Male,50,Middle Age,Clothing,1,50,50,,,,,,,,,,,,,,,
360,3/9/2023,Male,42,Middle Age,Clothing,4,25,100,,,,,,,,,,,,,,,
361,12/10/2023,Female,34,Middle Age,Electronics,4,300,1200,,,,,,,,,,,,,,,
362,11/27/2023,Male,50,Middle Age,Clothing,1,25,25,,,,,,,,,,,,,,,
363,6/3/2023,Male,64,Old,Beauty,1,25,25,,,,,,,,,,,,,,,
364,8/23/2023,Female,19,Adolescent,Beauty,1,500,500,,,,,,,,,,,,,,,
365,6/11/2023,Male,31,Adolescent,Clothing,1,300,300,,,,,,,,,,,,,,,
366,2/7/2023,Male,57,Old,Clothing,2,50,100,,,,,,,,,,,,,,,
367,1/5/2023,Female,57,Old,Electronics,1,50,50,,,,,,,,,,,,,,,
368,8/23/2023,Female,56,Old,Clothing,4,300,1200,,,,,,,,,,,,,,,
369,11/15/2023,Male,23,Adolescent,Electronics,3,500,1500,,,,,,,,,,,,,,,
370,10/16/2023,Male,23,Adolescent,Electronics,2,30,60,,,,,,,,,,,,,,,
371,2/21/2023,Female,20,Adolescent,Beauty,1,25,25,,,,,,,,,,,,,,,
372,2/7/2023,Female,24,Adolescent,Beauty,3,500,1500,,,,,,,,,,,,,,,
373,10/3/2023,Female,25,Adolescent,Beauty,2,300,600,,,,,,,,,,,,,,,
374,4/20/2023,Female,59,Old,Beauty,3,25,75,,,,,,,,,,,,,,,
375,9/17/2023,Male,32,Middle Age,Clothing,1,50,50,,,,,,,,,,,,,,,
376,5/16/2023,Female,64,Old,Beauty,1,30,30,,,,,,,,,,,,,,,
377,3/9/2023,Female,46,Middle Age,Clothing,4,50,200,,,,,,,,,,,,,,,
378,6/28/2023,Male,50,Middle Age,Beauty,1,300,300,,,,,,,,,,,,,,,
379,2/5/2023,Female,47,Middle Age,Clothing,1,25,25,,,,,,,,,,,,,,,
380,5/6/2023,Male,56,Old,Electronics,2,300,600,,,,,,,,,,,,,,,
381,7/9/2023,Female,44,Middle Age,Clothing,4,25,100,,,,,,,,,,,,,,,
382,5/26/2023,Female,53,Middle Age,Clothing,2,500,1000,,,,,,,,,,,,,,,
383,3/22/2023,Female,46,Middle Age,Beauty,3,30,90,,,,,,,,,,,,,,,
384,8/13/2023,Male,55,Old,Clothing,1,500,500,,,,,,,,,,,,,,,
385,10/6/2023,Male,50,Middle Age,Electronics,3,500,1500,,,,,,,,,,,,,,,
386,12/27/2023,Female,54,Middle Age,Electronics,2,300,600,,,,,,,,,,,,,,,
387,6/4/2023,Male,44,Middle Age,Beauty,1,30,30,,,,,,,,,,,,,,,
388,11/10/2023,Male,50,Middle Age,Electronics,1,25,25,,,,,,,,,,,,,,,
389,12/1/2023,Male,21,Adolescent,Clothing,2,25,50,,,,,,,,,,,,,,,
390,9/28/2023,Male,39,Middle Age,Electronics,2,50,100,,,,,,,,,,,,,,,
391,1/5/2023,Male,19,Adolescent,Beauty,2,25,50,,,,,,,,,,,,,,,
392,12/8/2023,Male,27,Adolescent,Clothing,2,300,600,,,,,,,,,,,,,,,
393,10/11/2023,Female,22,Adolescent,Beauty,2,500,1000,,,,,,,,,,,,,,,
394,6/3/2023,Female,27,Adolescent,Clothing,1,500,500,,,,,,,,,,,,,,,
395,12/6/2023,Male,50,Middle Age,Electronics,2,500,1000,,,,,,,,,,,,,,,
396,2/23/2023,Female,55,Old,Beauty,1,30,30,,,,,,,,,,,,,,,
397,3/10/2023,Female,30,Adolescent,Beauty,1,25,25,,,,,,,,,,,,,,,
398,5/16/2023,Female,48,Middle Age,Clothing,2,300,600,,,,,,,,,,,,,,,
399,3/1/2023,Female,64,Old,Beauty,2,30,60,,,,,,,,,,,,,,,
400,2/24/2023,Male,53,Middle Age,Clothing,4,50,200,,,,,,,,,,,,,,,
401,10/11/2023,Female,62,Old,Clothing,1,300,300,,,,,,,,,,,,,,,
402,3/21/2023,Female,41,Middle Age,Clothing,2,300,600,,,,,,,,,,,,,,,
403,5/20/2023,Male,32,Middle Age,Clothing,2,300,600,,,,,,,,,,,,,,,
404,5/25/2023,Male,46,Middle Age,Electronics,2,500,1000,,,,,,,,,,,,,,,
405,11/6/2023,Female,25,Adolescent,Clothing,4,300,1200,,,,,,,,,,,,,,,
406,4/18/2023,Female,22,Adolescent,Beauty,4,25,100,,,,,,,,,,,,,,,
407,6/25/2023,Female,46,Middle Age,Electronics,3,300,900,,,,,,,,,,,,,,,
408,4/15/2023,Female,64,Old,Beauty,1,500,500,,,,,,,,,,,,,,,
409,12/18/2023,Female,21,Adolescent,Electronics,3,300,900,,,,,,,,,,,,,,,
410,11/21/2023,Female,29,Adolescent,Clothing,2,50,100,,,,,,,,,,,,,,,
411,5/16/2023,Male,62,Old,Electronics,4,50,200,,,,,,,,,,,,,,,
412,9/16/2023,Female,19,Adolescent,Electronics,4,500,2000,,,,,,,,,,,,,,,
413,9/8/2023,Female,44,Middle Age,Beauty,3,25,75,,,,,,,,,,,,,,,
414,5/9/2023,Male,48,Middle Age,Beauty,4,25,100,,,,,,,,,,,,,,,
415,1/27/2023,Male,53,Middle Age,Clothing,2,30,60,,,,,,,,,,,,,,,
416,2/17/2023,Male,53,Middle Age,Electronics,4,500,2000,,,,,,,,,,,,,,,
417,11/21/2023,Male,43,Middle Age,Electronics,3,300,900,,,,,,,,,,,,,,,
418,8/5/2023,Female,60,Old,Electronics,2,500,1000,,,,,,,,,,,,,,,
419,5/22/2023,Female,44,Middle Age,Clothing,3,30,90,,,,,,,,,,,,,,,
420,1/23/2023,Female,22,Adolescent,Clothing,4,500,2000,,,,,,,,,,,,,,,
421,1/2/2023,Female,37,Middle Age,Clothing,3,500,1500,,,,,,,,,,,,,,,
422,6/20/2023,Female,28,Adolescent,Clothing,3,30,90,,,,,,,,,,,,,,,
423,3/8/2023,Female,27,Adolescent,Clothing,1,25,25,,,,,,,,,,,,,,,
424,11/23/2023,Male,57,Old,Beauty,4,300,1200,,,,,,,,,,,,,,,
425,5/15/2023,Female,55,Old,Electronics,4,30,120,,,,,,,,,,,,,,,
426,3/24/2023,Male,23,Adolescent,Electronics,3,50,150,,,,,,,,,,,,,,,
427,8/15/2023,Male,25,Adolescent,Electronics,1,25,25,,,,,,,,,,,,,,,
428,10/10/2023,Female,40,Middle Age,Electronics,4,50,200,,,,,,,,,,,,,,,
429,12/28/2023,Male,64,Old,Electronics,2,25,50,,,,,,,,,,,,,,,
430,8/7/2023,Female,43,Middle Age,Electronics,3,300,900,,,,,,,,,,,,,,,
431,10/15/2023,Male,63,Old,Electronics,4,300,1200,,,,,,,,,,,,,,,
432,1/5/2023,Female,60,Old,Electronics,2,500,1000,,,,,,,,,,,,,,,
433,2/27/2023,Male,29,Adolescent,Beauty,4,50,200,,,,,,,,,,,,,,,
434,2/8/2023,Female,43,Middle Age,Electronics,2,25,50,,,,,,,,,,,,,,,
435,12/20/2023,Female,30,Adolescent,Beauty,3,300,900,,,,,,,,,,,,,,,
436,3/18/2023,Female,57,Old,Clothing,4,30,120,,,,,,,,,,,,,,,
437,10/7/2023,Female,35,Middle Age,Electronics,4,300,1200,,,,,,,,,,,,,,,
438,1/19/2023,Female,42,Middle Age,Clothing,1,30,30,,,,,,,,,,,,,,,
439,7/9/2023,Male,50,Middle Age,Clothing,3,25,75,,,,,,,,,,,,,,,
440,10/26/2023,Male,64,Old,Clothing,2,300,600,,,,,,,,,,,,,,,
441,10/10/2023,Male,57,Old,Beauty,4,300,1200,,,,,,,,,,,,,,,
442,3/17/2023,Female,60,Old,Clothing,4,25,100,,,,,,,,,,,,,,,
443,8/9/2023,Male,29,Adolescent,Clothing,2,300,600,,,,,,,,,,,,,,,
444,3/7/2023,Female,61,Old,Clothing,3,30,90,,,,,,,,,,,,,,,
445,1/22/2023,Female,53,Middle Age,Electronics,1,300,300,,,,,,,,,,,,,,,
446,6/7/2023,Male,21,Adolescent,Electronics,1,50,50,,,,,,,,,,,,,,,
447,7/6/2023,Male,22,Adolescent,Beauty,4,500,2000,,,,,,,,,,,,,,,
448,1/21/2023,Female,54,Middle Age,Beauty,2,30,60,,,,,,,,,,,,,,,
449,7/3/2023,Male,25,Adolescent,Electronics,4,50,200,,,,,,,,,,,,,,,
450,4/18/2023,Female,59,Old,Beauty,2,25,50,,,,,,,,,,,,,,,
451,12/16/2023,Female,45,Middle Age,Electronics,1,30,30,,,,,,,,,,,,,,,
452,5/8/2023,Female,48,Middle Age,Clothing,3,500,1500,,,,,,,,,,,,,,,
453,12/8/2023,Female,26,Adolescent,Clothing,2,500,1000,,,,,,,,,,,,,,,
454,2/22/2023,Female,46,Middle Age,Beauty,1,25,25,,,,,,,,,,,,,,,
455,7/1/2023,Male,31,Adolescent,Electronics,4,25,100,,,,,,,,,,,,,,,
456,10/14/2023,Male,57,Old,Electronics,2,30,60,,,,,,,,,,,,,,,
457,7/28/2023,Female,58,Old,Beauty,3,300,900,,,,,,,,,,,,,,,
458,11/14/2023,Female,39,Middle Age,Electronics,4,25,100,,,,,,,,,,,,,,,
459,3/21/2023,Male,28,Adolescent,Clothing,4,300,1200,,,,,,,,,,,,,,,
460,5/2/2023,Male,40,Middle Age,Beauty,1,50,50,,,,,,,,,,,,,,,
461,3/25/2023,Female,18,Adolescent,Beauty,2,500,1000,,,,,,,,,,,,,,,
462,4/1/2023,Male,63,Old,Electronics,4,300,1200,,,,,,,,,,,,,,,
463,7/31/2023,Female,54,Middle Age,Beauty,3,500,1500,,,,,,,,,,,,,,,
464,1/13/2023,Male,38,Middle Age,Electronics,2,300,600,,,,,,,,,,,,,,,
465,4/2/2023,Female,43,Middle Age,Electronics,3,50,150,,,,,,,,,,,,,,,
466,6/20/2023,Male,63,Old,Electronics,4,25,100,,,,,,,,,,,,,,,
467,7/30/2023,Female,53,Middle Age,Electronics,3,50,150,,,,,,,,,,,,,,,
468,12/9/2023,Male,40,Middle Age,Electronics,1,25,25,,,,,,,,,,,,,,,
469,5/8/2023,Male,18,Adolescent,Beauty,3,25,75,,,,,,,,,,,,,,,
470,5/17/2023,Female,57,Old,Clothing,2,500,1000,,,,,,,,,,,,,,,
471,3/23/2023,Male,32,Middle Age,Clothing,3,50,150,,,,,,,,,,,,,,,
472,12/26/2023,Female,38,Middle Age,Beauty,3,300,900,,,,,,,,,,,,,,,
473,2/25/2023,Male,64,Old,Beauty,1,50,50,,,,,,,,,,,,,,,
474,7/15/2023,Female,26,Adolescent,Clothing,3,500,1500,,,,,,,,,,,,,,,
475,1/20/2023,Male,26,Adolescent,Clothing,3,25,75,,,,,,,,,,,,,,,
476,8/29/2023,Female,27,Adolescent,Clothing,4,500,2000,,,,,,,,,,,,,,,
477,4/24/2023,Male,43,Middle Age,Clothing,4,30,120,,,,,,,,,,,,,,,
478,4/13/2023,Female,58,Old,Clothing,2,30,60,,,,,,,,,,,,,,,
479,8/24/2023,Male,52,Middle Age,Electronics,4,300,1200,,,,,,,,,,,,,,,
480,6/29/2023,Female,42,Middle Age,Beauty,4,500,2000,,,,,,,,,,,,,,,
481,6/6/2023,Female,43,Middle Age,Electronics,4,300,1200,,,,,,,,,,,,,,,
482,4/27/2023,Female,28,Adolescent,Clothing,4,300,1200,,,,,,,,,,,,,,,
483,4/25/2023,Male,55,Old,Clothing,1,30,30,,,,,,,,,,,,,,,
484,1/13/2023,Female,19,Adolescent,Clothing,4,300,1200,,,,,,,,,,,,,,,
485,12/4/2023,Male,24,Adolescent,Electronics,1,30,30,,,,,,,,,,,,,,,
486,4/9/2023,Female,35,Middle Age,Electronics,1,25,25,,,,,,,,,,,,,,,
487,7/24/2023,Male,44,Middle Age,Clothing,4,500,2000,,,,,,,,,,,,,,,
488,6/18/2023,Female,51,Middle Age,Electronics,3,300,900,,,,,,,,,,,,,,,
489,5/23/2023,Male,44,Middle Age,Electronics,1,30,30,,,,,,,,,,,,,,,
490,2/5/2023,Male,34,Middle Age,Clothing,3,50,150,,,,,,,,,,,,,,,
491,5/23/2023,Female,60,Old,Electronics,3,300,900,,,,,,,,,,,,,,,
492,6/29/2023,Male,61,Old,Beauty,4,25,100,,,,,,,,,,,,,,,
493,11/25/2023,Male,41,Middle Age,Beauty,2,25,50,,,,,,,,,,,,,,,
494,9/18/2023,Female,42,Middle Age,Beauty,4,50,200,,,,,,,,,,,,,,,
495,7/24/2023,Male,24,Adolescent,Beauty,2,30,60,,,,,,,,,,,,,,,
496,12/14/2023,Male,23,Adolescent,Clothing,2,300,600,,,,,,,,,,,,,,,
497,10/2/2023,Male,41,Middle Age,Clothing,4,30,120,,,,,,,,,,,,,,,
498,6/19/2023,Female,50,Middle Age,Clothing,4,25,100,,,,,,,,,,,,,,,
